tematica;nombre_capa;descripcion_capa;ultima_actualizacion_reportada;fuente
_18_Incendios;_18_17_RICV_Susceptibilidad_Tipo_Combustible_2014;Susceptibilidad Tipo Combustible Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_18_RICV_Susceptibilidad_Duracion_Combustibles_2014;Susceptibilidad Duración Combustible Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_19_RICV_Escenario_Riesgo_Patrimonial_2014;Escenario Riesgo Patrimonial Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_20_RICV_Escenario_Riesgo_Institucional_2014;Escenario Riesgo Institucional Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_21_RICV_Escenario_Riesgo_Infraestructura_2014;Escenario Riesgo Infraestructura Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_22_RICV_Escenario_Riesgo_Economico_2014;Escenario Económico Infraestructura Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_23_RICV_Escenario_Riesgo_Ecologico_2014;Escenario Ecológico Infraestructura Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_24_RICV_Escenario_Fisico_Incendios_Cobertura_Vegetal;Escenario Fisico Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_25_RICV_Amenaza_Total_Condiciones_Normales_2014;Amenaza Total Condiciones Normales Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_26_RICV_Amenaza_RadiacionSolar_2014;Amenaza Radiacion Solar Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_27_RICV_Amenaza_Precipitacion_Condiciones_Normales_2014;Precipitación Condiciones Normales Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Amenaza_Rural;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Amenaza_Urbano;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Riesgo_Rural;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Riesgo_Urbano;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Vulnerabilidad_Rural;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_10_Analisis_Vulnerabilidad_Riesgo_Inundacion;_10_Vulnerabilidad_Urbana;Niveles De Riesgo Asociados A Inundaciones;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_11_Analisis_Vulnerabilidad_Riesgo_Incendio;_11_Amenaza_Rural;Niveles De Riesgo Asociados A Incendios;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_11_Analisis_Vulnerabilidad_Riesgo_Incendio;_11_Riesgo_Rural;Niveles De Riesgo Asociados A Incendios;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_11_Analisis_Vulnerabilidad_Riesgo_Incendio;_11_Vulnerabilidad_Rural;Niveles De Riesgo Asociados A Incendios;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Amenaza_Rural;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Amenaza_Urbano;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Riesgo_Rural;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Riesgo_Urbano;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Vulnerabilidad_Rural;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_12_Analisis_Vulnerabilidad_Riesgo_Avenida_Torrencial;_12_Vulnerabilidad_Urbana;Niveles De Riesgo Asociados A Avenidas Torrenciales;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Amenaza_Rural;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Amenaza_Urbano;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Riesgo_Rural;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Riesgo_Urbano;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Vulnerabilidad_Rural;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_13_Analisis_Vulnerabilidad_Riesgo_Remocion_Masa;_13_Vulnerabilidad_Urbana;Niveles De Riesgo Asociados A Procesos De Remoción En Masa;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_10_Cobertura_Tierra;"El Objeto Geográfico Cobertura De La Tierra Periodo 2018 A Escala 1:100.000 Corresponde A La Reinterpretación Y/O Interpretación Visual De Imágenes Landsat 8 Para La Parte Continental E Imágenes Sentinel 2 Para El Archipiélago De San Andrés, Providencia Y Santa Catalina, Todas Con Fecha De Captura Dentro Del Periodo (Año) 2018. Se Siguió La Metodología Corine Land Cover Adaptada Para Colombia, Escala 1:100.000, (Ideam, Igac, & Cormagdalena, 2008). Se Estableció Un ""Limite Ambiental"" Para La Capa Oficial De Coberturas, Conformado Por El Límite Del Marco Geoestadístico Nacional (Mgn) En Las Áreas Terrestres Continentales Y En La Línea De Costa, Se Incluyeron Las Coberturas Asociadas Con Dinámicas Marino Costeras Visibles En Las Imágenes Satelitales.

El Área Mínima De Mapeo Utilizada Según La Metodología Es De 5 Ha Para Los Territorios Artificializados Y 25 Ha Para Los Territorios Agrícolas, Bosques Y Áreas Seminaturales, Áreas Húmedas Y Superficies De Agua.";2021-04-06; Instituto de Hidrología, Meteorología y Estudios Ambientales
_15_Licencias_Ambientales;_15_1_Areas_Licenciadas_Hidrocarburos;Capa De Información Espacial Que Contiene Los Polígonos De Las Áreas Licenciadas Para Los Proyectos En El Sector De Hidrocarburos. Contiene Información Como El Nombre De La Empresa Solicitante O Titular De La Licencia, El Nombre Del Proyecto Objeto De Licenciamiento O Licenciado, El Número De La Resolución O Acto Administrativo Establecido Por La Anla Que Otorga Licencia O Impone Obligación Y La Fecha De La Resolución O Acto Administrativo Que Otorga Licencia O Impone Obligación.;2020-07-29;Autoridad Nacional de Licencias Ambientales
_15_Licencias_Ambientales;_15_2_Areas_Licenciadas_Infraestructura;Capa De Información Espacial Que Contiene Los Polígonos De Las Áreas Licenciadas Para Los Proyectos En El Sector De Infraestructura. Contiene Información Como El Nombre De La Empresa Solicitante O Titular De La Licencia, El Nombre Del Proyecto Objeto De Licenciamiento O Licenciado, El Número De La Resolución O Acto Administrativo Establecido Por La Anla Que Otorga Licencia O Impone Obligación Y La Fecha De La Resolución O Acto Administrativo Que Otorga Licencia O Impone Obligación.;2022-01-13;Autoridad Nacional de Licencias Ambientales
_17_Desarrollo_Rural;_17_7_Zonas_Reserva_Campesina;Representación Gráfica De Las Zonas De Reserva Campesina, Se Entienden Las Zonas De Reserva Campesina Como Un Movimiento Socio-Territorial, Las Cuales Tienen En Cuenta Una Apropiación Material Y Simbólica Del Espacio Geográfico, Que Pueden O No, Coincidir Con Las Formas Estatales Actuales.;2019-01-01;Agencia Nacional de Tierras
_17_Desarrollo_Rural;_17_3_Oferta_Ambiental;El Establecimiento De La Oferta Ambiental De Un País Debe Integrar Múltiples Aproximaciones Que Involucren Los Recursos Naturales, Renovables O No, En El Marco Complejo De La Población Que Lo Habita. A Su Vez Debe Comprender Aspectos De Conservación/Protección Ambientales, Áreas De Susceptibilidad Y Amenazas Naturales, Producción Agropecuaria, Agroforestal, Forestal Y De Recursos Naturales. Este Producto Es Generado Por La Subdirección De Agrología Del Instituto Geográfico Agustín Codazzi  - Igac, Para El Territorio Nacional, El Cual Fue Publicado En La Obra Suelos Y Tierras De Colombia 2016 A Escala 1:100.000.;2016-10-01;Instituto Geográfico Agustín Codazzi
_17_Desarrollo_Rural;_17_2_Demanda_Ambiental_Coberturas_2002_2005;La Demanda Ambiental Está Representada Por El Uso De Los Recursos Naturales Que Hace La Población En El Territorio En Que Está Asentada E Incluye La Utilización Predominante De Las Tierras, Los Procesos De Explotación De Hidrocarburos, La Minería, Los Usos Marinos Y La Pesca Artesanal E Industrial. Este Producto Es Generado Por La Subdirección De Agrología Del Instituto Geográfico Agustín Codazzi  - Igac, Para El Territorio Nacional, El Cual Fue Publicado En La Obra Suelos Y Tierras De Colombia 2016 A Escala 1:100.000.;2016-01-01;Instituto Geográfico Agustín Codazzi
_17_Desarrollo_Rural;_17_6_Resguardos_Indigenas_Legalizados_Colombia;Se Entienden Los Resguardos Indígenas Como Una Institución Legal Sociopolítica De Origen Colonial, Conformada Por Un Territorio Reconocido De Una Comunidad De Ascendencia Amerindia, Con Título De Propiedad Inalienable, Colectiva O Comunitaria, Regido Por Un Estatuto Especial Autónomo, Con Pautas Y Tradiciones Culturales Propias. La Información Se Encuentra Disponible Para Visualización, Consulta Y Descarga, Y Se Actualiza De Acuerdo A Las Dinámicas De La Agencia Y Los Procesos Que Al Interior De Ella Se Adelanten.;2022-10-12;Agencia Nacional de Tierras
_4_Suelos;_4_8_Suelos_Cundinamarca;Distribución De Las Características Del Suelo, Determinadas Mediante El Levantamiento General De Suelos Del Departamento De Cundinamarca A Escala 1:100.000, Publicado El Año 1988. Suministra Información Importante Acerca Del Recurso Suelo, A Través De La Descripción E Interpretación De Sus Ambientes Edafogenéticos, Sus Características Físicas, Químicas, Mineralógicas Y Morfológicas, Su Taxonomía Y Distribución Espacial, Como Base Para La Determinación De Sus Potenciales Productivos, Describiendo Las Limitantes De Uso. Este Producto Es Generado Por La Subdirección De Agrología Del Instituto Geográfico Agustín Codazzi - Igac, Para El Departamento De Cundinamarca A Escala 1:100.000.;1988-01-01;Instituto Geográfico Agustín Codazzi
_4_Suelos;_4_9_Capacidad_Uso_Tierras;"La Clasificación Por Capacidad De Uso Está Basada En La Interpretación De Las Unidades Cartográficas Que Integran El Mapa De Suelos Del País (Escala 1:100.000). La Interpretación Busca Establecer Las Restricciones Y Potencialidades Biofísicas De Las Tierras. Los Criterios Para Evaluarlas Y Sus Rangos De Variación Se Adaptaron Al País; A Partir De La Clasificación Originada En Los Estados Unidos; A Través De La Experiencia Proporcionada Durante Más De Cinco Décadas De Aplicación. La Clasificación Propende Por La Utilización Correcta De Las Tierras Del País Y; Al Estar Espacializada; Constituye Un Criterio Imprescindible En Los Planes De Ordenamiento Territorial; En La Toma De Decisiones Con El Fin De Reducir Su Uso Irracional Y En La Planificación De Sus Recursos Naturales.";2014-12-30;Instituto Geográfico Agustín Codazzi
_14_Ecosistema;_14_10_Ecosistemas_Paramo;"Contiene La Delimitación De Los Páramos, Determinada Por El Ministerio De Ambiente Y Desarrollo Sostenible, Que Tienen Cubrimiento Geográfico En La Jurisdicción De Corpochivor. El Páramo Está Definido, Según La Ley 1930 De 2018, Como Un ""...Ecosistema De Alta Montaña, Ubicado Entre El Límite Superior Del Bosque Andino Y, Si Se Da El Caso, El Límite Inferior De Los Glaciares, En El Cual Dominan Asociaciones Vegetales Tales Como Pajonales, Frailejones, Matorrales, Prados Y Chuscales, Además Puede Haber Formaciones De Bosques Bajos Y Arbustos Y Presentar Humedales Como Los Ríos, Quebradas, Arroyos, Turberas, Pantanos, Lagos Y Lagunas, Entre Otros..."".";2020-12-31;Ministerio de Ambiente y Desarrollo Sostenible
_6_Jurisdiccion_CAR;_6_2_Limites Autoridades Ambientales 2022;Capa Que Contiene De Los Límites De Las Corporaciones Autónomas Regionales,  Construidos Con Base En La Capa De Limites Municipales A Escala 1:25000 Publicados Por El Instituto Geográfico Agustí Codazzi – Igac Del Año 2018 Y De La Sinergia Con La Propuesta De Los Límites De Las Corporaciones Autónomas Regionales Construido Por El Ideam. Cubre Toda La Extensión Continental Del Territorio Colombiano, Además Del Archipiélago De San Andrés Y Providencia. Esta Versión Cuenta Con Una Actualización De La Información Alfanumérica Con La Incorporación De 2 Atributos;2022-10-27;Ministerio de Ambiente y Desarrollo Sostenible
_17_Desarrollo_Rural;_17_1_Suburbanizacion_CAR;Las Corporaciones Autónomas Regionales - Car, Son Las Entidades Que A Nivel Regional Tienen La Competencia De Fijar Las Determinantes Ambientales. Una Vez Adoptados Los Planes De Manejo Y De Definición De La Función Amortiguadora De Las Áreas Protegidas Se Incorporarán Como Determinantes Del Ot Municipal O Distrital En Aquellos Municipios Y Distritos Que Se Encuentren Dentro De Su Jurisdicción. El Mapa Adopción De Determinantes Ambientales Para Pot Muestra La Jurisdicción De Las Car (Autoridades Regionales) Y De Las Autoridades Locales, Que Han Adoptado O Actualizado Las Determinantes Ambientales Para Que Los Municipios Bajo Dicha Jurisdicción, Las Apliquen En Sus Planes De Ordenamiento Municipal.;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_17_Desarrollo_Rural;_17_4_Vigencia_Catastral_2020;Capa Geográfica Que Representa, Por Municipio, La Vigencia En La Actualización De Su Catastro A Corte 2020;2021-12-30;Instituto Geográfico Agustín Codazzi
_17_Desarrollo_Rural;_17_5_Clasificacion_Terrenos_Rurales_Catastro;"Patrones De Distribución De La Tierra Rural Por Tamaño De Predios, De Acuerdo A Las Categorías Microfundio, Minifundio, Pequeña, Mediana Y Gran Propiedad Propuestas En El Atlas De La Distribución De La Propiedad Rural En Colombia (Igac, 2012); ";2021-12-30;Instituto Geográfico Agustín Codazzi
_14_Ecosistema;_14_1_Humedal;La Capa De Los Humedales A Escala 1:100.000 Actualizada En 2020 Muestra Los Límites Espaciales Construidos A Partir De Las Resoluciones Y Los Ejercicios Técnicos Realizados, De Cada Una De Las Zonas De Estudio. Se Realizan Actualizaciones Mensuales Según Necesidad, Hasta Diciembre De 2020 En Cabeza De La Dirección De Bosques, Biodiversidad Y Servicios Ecosistémicos - Dbbse. Cubre Toda La Extensión Continental Del Territorio Colombiano, En Donde Se Encuentran Los Humedales.;2021-01-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_2_Humedal_Ramsar;La Capa De Áreas De Importancia Especial Y De Ecosistemas Estratégicos Ilustra Las 37 Áreas De Páramo Delimitadas En El País Mediante Las Leyes 1450 De 2011 Y 1753 De 2015, Que Fueron Ratificadas Por La Ley 1930 De 2018. Asimismo, Ilustra Las Zonas En Reservas Forestales De Ley 2ª De 1959 Que Abarcan Una Superficie Total De 65.280.321 Ha, Y Que Fueron Establecidas Para El Desarrollo De La Economía Forestal Y Protección De Los Suelos, Las Aguas Y La Vida Silvestre. Por Otra Parte, También Se Ilustran Los Ecosistemas De Humedales Reconocidos Por El Ministerio De Ambiente Y Desarrollo Sostenible. Se Representan Los 12 Sitios Designados Como Humedales De Importancia Internacional De La Convención Ramsar Con Más De Un Millón De Hectáreas Reconocidas, Destacando El Primer Complejo Urbano De Humedales Altoandinos De Latinoamérica Ubicado En Bogotá Declarado En 2018 (Ministerio De Ambiente Y Desarrollo Sostenible, 2021).;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_3_Paramos;La Capa De Áreas De Importancia Especial Y De Ecosistemas Estratégicos Ilustra Las 37 Áreas De Páramo Delimitadas En El País Mediante Las Leyes 1450 De 2011 Y 1753 De 2015, Que Fueron Ratificadas Por La Ley 1930 De 2018. Asimismo, Ilustra Las Zonas En Reservas Forestales De Ley 2ª De 1959 Que Abarcan Una Superficie Total De 65.280.321 Ha, Y Que Fueron Establecidas Para El Desarrollo De La Economía Forestal Y Protección De Los Suelos, Las Aguas Y La Vida Silvestre. Por Otra Parte, También Se Ilustran Los Ecosistemas De Humedales Reconocidos Por El Ministerio De Ambiente Y Desarrollo Sostenible. Se Representan Los 12 Sitios Designados Como Humedales De Importancia Internacional De La Convención Ramsar Con Más De Un Millón De Hectáreas Reconocidas, Destacando El Primer Complejo Urbano De Humedales Altoandinos De Latinoamérica Ubicado En Bogotá Declarado En 2018 (Ministerio De Ambiente Y Desarrollo Sostenible, 2021).;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_4_POMCAS;La Capa De Áreas De Importancia Especial Y De Ecosistemas Estratégicos Ilustra Las 37 Áreas De Páramo Delimitadas En El País Mediante Las Leyes 1450 De 2011 Y 1753 De 2015, Que Fueron Ratificadas Por La Ley 1930 De 2018. Asimismo, Ilustra Las Zonas En Reservas Forestales De Ley 2ª De 1959 Que Abarcan Una Superficie Total De 65.280.321 Ha, Y Que Fueron Establecidas Para El Desarrollo De La Economía Forestal Y Protección De Los Suelos, Las Aguas Y La Vida Silvestre. Por Otra Parte, También Se Ilustran Los Ecosistemas De Humedales Reconocidos Por El Ministerio De Ambiente Y Desarrollo Sostenible. Se Representan Los 12 Sitios Designados Como Humedales De Importancia Internacional De La Convención Ramsar Con Más De Un Millón De Hectáreas Reconocidas, Destacando El Primer Complejo Urbano De Humedales Altoandinos De Latinoamérica Ubicado En Bogotá Declarado En 2018 (Ministerio De Ambiente Y Desarrollo Sostenible, 2021).;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_5_Reserva_Forestal_Ley_2;La Capa De Áreas De Importancia Especial Y De Ecosistemas Estratégicos Ilustra Las 37 Áreas De Páramo Delimitadas En El País Mediante Las Leyes 1450 De 2011 Y 1753 De 2015, Que Fueron Ratificadas Por La Ley 1930 De 2018. Asimismo, Ilustra Las Zonas En Reservas Forestales De Ley 2ª De 1959 Que Abarcan Una Superficie Total De 65.280.321 Ha, Y Que Fueron Establecidas Para El Desarrollo De La Economía Forestal Y Protección De Los Suelos, Las Aguas Y La Vida Silvestre. Por Otra Parte, También Se Ilustran Los Ecosistemas De Humedales Reconocidos Por El Ministerio De Ambiente Y Desarrollo Sostenible. Se Representan Los 12 Sitios Designados Como Humedales De Importancia Internacional De La Convención Ramsar Con Más De Un Millón De Hectáreas Reconocidas, Destacando El Primer Complejo Urbano De Humedales Altoandinos De Latinoamérica Ubicado En Bogotá Declarado En 2018 (Ministerio De Ambiente Y Desarrollo Sostenible, 2021).;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_6_Registro_Unico_Nacional_Areas_Protegidas;La Capa De Áreas De Importancia Especial Y De Ecosistemas Estratégicos Ilustra Las 37 Áreas De Páramo Delimitadas En El País Mediante Las Leyes 1450 De 2011 Y 1753 De 2015, Que Fueron Ratificadas Por La Ley 1930 De 2018. Asimismo, Ilustra Las Zonas En Reservas Forestales De Ley 2ª De 1959 Que Abarcan Una Superficie Total De 65.280.321 Ha, Y Que Fueron Establecidas Para El Desarrollo De La Economía Forestal Y Protección De Los Suelos, Las Aguas Y La Vida Silvestre. Por Otra Parte, También Se Ilustran Los Ecosistemas De Humedales Reconocidos Por El Ministerio De Ambiente Y Desarrollo Sostenible. Se Representan Los 12 Sitios Designados Como Humedales De Importancia Internacional De La Convención Ramsar Con Más De Un Millón De Hectáreas Reconocidas, Destacando El Primer Complejo Urbano De Humedales Altoandinos De Latinoamérica Ubicado En Bogotá Declarado En 2018 (Ministerio De Ambiente Y Desarrollo Sostenible, 2021).;2021-12-30;Ministerio de Ambiente y Desarrollo Sostenible
_14_Ecosistema;_14_7_Parque_Natural_Nacional;La Capa De Parques Nacionales Naturales Según Categoría, Perteneciente Al Sistema De Información Geográfica Para La Planeación Y El Ordenamiento Territorial - Sigot, Contiene Información A Nivel Municipal Referente Al Tipo De Categoría De Parque Nacional Natural (Reserva Natural, Área Natural Única, Santuario De Flora, Santuario De Fauna Y Vía Parque) Para El Año 2017. Información Proporcionada Por Parques Nacionales Naturales De Colombia.;2020-01-01;Parques Nacionales Naturales
_6_Jurisdiccion_CAR;_6_1_Jurisdiccion_CAR;Límite De La Jurisdiccion Car Cundinamarca;25/09/2018;Corporación Autónoma Regional de Cundinamarca
_16_Infraestructura;_16_1_Disposicion_Regional;Localización de la infraestructura básica relacionada con sistemas de saneamiento (plantas de tratamiento de agua potable PTAP que benefician a más de 22 millones de habitantes, las 29 plantas de tratamiento de aguas residuales PTAR más representativas por su caudal de diseño, 63 rellenos sanitarios y celdas de contingencia regionales en los que disponen sus residuos más de 1000 municipios), ;30/12/2021;Instituto Geográfico Agustín Codazzi
_16_Infraestructura;_16_2_Embalse;Localización de la infraestructura básica relacionada con sistemas de abastecimiento de agua (embalses y lagunas).;30/12/2021;Instituto Geográfico Agustín Codazzi
_16_Infraestructura;_16_3_Infraestructura_Vial;Localización de la infraestructura víal relacionada con los tipos de vía de primer, segundo y tercer orden;30/12/2021;Instituto Geográfico Agustín Codazzi
_16_Infraestructura;_16_4_Laguna;Localización de la infraestructura básica relacionada con sistemas de abastecimiento de agua (embalses y lagunas).;30/12/2021;Instituto Geográfico Agustín Codazzi
_16_Infraestructura;_16_5_Plantas_Tratamiento_Agua_Potable;Localización de la infraestructura básica relacionada con sistemas de saneamiento (plantas de tratamiento de agua potable PTAP que benefician a más de 22 millones de habitantes, las 29 plantas de tratamiento de aguas residuales PTAR más representativas por su caudal de diseño, 63 rellenos sanitarios y celdas de contingencia regionales en los que disponen sus residuos más de 1000 municipios), ;30/12/2021;Instituto Geográfico Agustín Codazzi
_16_Infraestructura;_16_6_Red_Vial_Nacional;Red Vial Nacional de Carreteras que esta conformada por las troncales, transversales y accesos a capitales de Departamento que cumplen la función básica de integración de las principales zonas de producción y consumo del país y de éste con los demás países.;1/01/2016;Instituto Nacional de Vias
